doc ID,topic pairs
10.1107/S0108270197011438,"[(47, 0.9173565397989611)]"
10.1107/S0108270197010809,"[(4, 0.9386965094869422)]"
10.1107/S0907444997005829,"[(102, 0.43975836134365276), (15, 0.3366612445042118), (131, 0.20126186293778442)]"
10.1107/S1600536810038535,"[(16, 0.4631163651537331), (0, 0.3224670013441796), (1, 0.16749479928255473)]"
10.1107/S1600536810042327,"[(3, 0.620493476889656), (1, 0.3195549718227727)]"
10.1107/S1600536810042601,"[(0, 0.8915269124395683)]"
10.1107/S1600536810043485,"[(10, 0.5731684675058767), (0, 0.37595163423270767)]"
10.1107/S1600536810040602,"[(36, 0.6296226608489469), (7, 0.32607145357208217)]"
10.1107/S1399004714023931,"[(6, 0.9775417016045411)]"
10.1107/S0108270104025648,"[(129, 0.8891056137877512)]"
10.1107/S0021889898010632,"[(8, 0.41810647003272405), (96, 0.3418371641996651), (124, 0.1993515482435599)]"
10.1107/S0108270104026356,"[(6, 0.95059174351783)]"
10.1107/S1600536810041607,"[(18, 0.9419833024285352)]"
10.1107/S0021889884011845,"[(17, 0.9672207094606617)]"
10.1107/S0021889811030226,"[(128, 0.9643644646182303)]"
10.1107/S0021889811034911,"[(27, 0.34651143884588276), (2, 0.32850918947639374), (61, 0.2735373226339564)]"
10.1107/S0108270101018017,"[(112, 0.9378253967974256)]"
10.1107/S0108270100015742,"[(0, 0.4780954845142776), (3, 0.3297263271967414)]"
10.1107/S010827010200032X,"[(51, 0.5110126982242031), (30, 0.40706354044545656)]"
10.1107/S1600536810038511,"[(136, 0.9501296480240686)]"
10.1107/S160057671401303X,"[(80, 0.9585128018103295)]"
10.1107/S0108270102000707,"[(133, 0.9655914257404935)]"
10.1107/S1600576714014289,"[(3, 0.9507683423299484)]"
10.1107/S1600536810039449,"[(16, 0.49558702014135425), (1, 0.4303992186012023)]"
10.1107/S1600536810039000,"[(1, 0.9250313319400197)]"
10.1107/S1600536808043717,"[(11, 0.8906454312310575)]"
